,,longName,L.Year,Today,risk_score,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
COPX,0,Global X Copper Miners ETF,33.8,40.41,2.02,0.1,Overbought - Potential Reversal,Upward,0.49,19.56,4.76,13.37,0.91,0.95,0.88,1242340.0,0.18,2.52,Uptrend,Bull,,
NFRA,0,FlexShares STOXX Global Broad Infrastructure Index Fund,48.93,54.36,1.86,0.5,Neutral,Upward,0.54,11.09,4.81,10.82,0.99,1.0,0.98,40606.67,0.09,2.34,Uptrend,Bear,,
EMIF,0,iShares Emerging Markets Infrastructure ETF,20.2,21.99,0.76,0.5,Neutral,Upward,1.31,8.85,4.56,8.85,0.99,1.0,0.98,633.33,0.18,2.23,Uptrend,Bull,,
INFL,0,Horizon Kinetics Inflation Beneficiaries ETF,28.46,31.73,0.7,0.1,Overbought - Potential Reversal,Upward,1.44,11.49,4.82,8.53,0.97,0.99,0.96,282000.0,0.16,2.21,Uptrend,Bull,,
PBE,0,Invesco Biotechnology & Genome ETF,61.53,65.41,3.32,0.5,Neutral,Downward,0.3,6.31,6.12,7.25,1.01,1.03,0.97,26420.0,0.01,2.14,Downtrend,Bear,,
IHI,0,iShares U.S. Medical Devices ETF,51.21,57.89,3.49,0.5,Neutral,Upward,0.29,13.04,3.56,10.8,1.0,1.01,0.98,1305026.67,0.17,2.12,Uptrend,Bear,,
IDNA,0,iShares Genomics Immunology and Healthcare ETF,23.12,24.25,1.8,0.5,Neutral,Upward,0.55,4.89,5.38,7.37,1.0,1.04,0.97,51946.67,0.17,2.1,Downtrend,Bear,,
XPH,0,SPDR S&P Pharmaceuticals ETF,40.51,42.78,2.34,1.0,Neutral,Downward,0.43,5.6,3.71,7.72,1.03,1.06,1.0,29206.67,0.02,1.91,Downtrend,Bear,,
BBH,0,VanEck Biotech ETF,156.04,165.94,5.61,0.5,Neutral,Upward,0.18,6.34,5.35,5.38,0.99,1.01,0.98,6026.67,-0.03,1.81,Uptrend,Bear,,
UTES,0,Virtus Reaves Utilities ETF,44.33,46.56,1.44,0.1,Overbought - Potential Reversal,Upward,0.7,5.05,3.12,7.2,0.97,1.0,0.94,4853.33,0.22,1.72,Uptrend,Bear,,
JHMU,0,John Hancock Dynamic Municipal Bond ETF,24.89,27.13,0.6,0.5,Neutral,Upward,1.66,9.01,1.75,7.27,1.0,1.0,0.99,426.67,0.16,1.7,Uptrend,Bull,,
PICK,0,iShares MSCI Global Metals & Mining Producers ETF,37.84,40.77,1.54,0.5,Neutral,Upward,0.65,7.74,3.47,5.89,0.97,0.99,0.96,155553.33,0.0,1.65,Uptrend,Bull,,
GNR,0,SPDR S&P Global Natural Resources ETF,51.76,55.89,1.45,0.1,Overbought - Potential Reversal,Upward,0.69,7.99,2.68,6.72,0.97,0.99,0.95,359553.33,0.12,1.59,Uptrend,Bull,,
TOLZ,0,ProShares DJ Brookfield Global Infrastructure ETF,42.64,45.8,1.47,0.1,Overbought - Potential Reversal,Upward,0.68,7.42,1.18,7.63,0.98,1.0,0.97,16193.33,0.12,1.46,Uptrend,Bear,,
PJP,0,Invesco Pharmaceuticals ETF,73.87,77.97,2.7,0.5,Neutral,Upward,0.37,5.55,2.3,5.78,1.0,1.01,0.98,29186.67,0.07,1.44,Uptrend,Bear,,
GLIF,0,AGF Global Infrastructure ETF,24.13,25.86,0.83,0.1,Overbought - Potential Reversal,Upward,1.21,7.17,0.56,6.87,0.98,1.0,0.97,1140.0,0.11,1.37,Uptrend,Bull,,
BLLD,0,JPMorgan Sustainable Infrastructure ETF,44.6,47.11,1.88,0.5,Neutral,Upward,0.53,5.62,0.51,6.41,0.99,1.01,0.97,426.67,0.06,1.25,Uptrend,Bear,,
ARKG,0,ARK Genomic Revolution ETF,28.94,29.54,3.18,0.5,Neutral,Downward,0.31,2.07,2.39,3.11,1.04,1.12,1.0,2250973.33,0.02,1.2,Downtrend,Bear,,
FBT,0,First Trust NYSE Arca Biotechnology Index Fund,151.25,154.65,6.23,0.5,Neutral,Upward,0.16,2.25,2.03,2.99,0.99,1.01,0.96,29780.0,0.07,1.08,Uptrend,Bear,,
FXH,0,First Trust Health Care AlphaDEX Fund,103.75,108.46,4.93,0.5,Neutral,Upward,0.2,4.54,0.51,3.99,0.99,1.0,0.98,23653.33,0.21,0.98,Uptrend,Bear,,
IYZ,0,iShares U.S. Telecommunications ETF,21.72,22.07,0.71,0.5,Neutral,Downward,1.4,1.61,1.5,1.0,0.99,1.0,0.99,777986.67,-0.26,0.96,Uptrend,Bear,,
IGF,0,iShares Global Infrastructure ETF,44.63,46.72,1.68,0.5,Neutral,Upward,0.6,4.69,-0.98,4.96,0.98,1.0,0.97,279360.0,0.1,0.89,Uptrend,Bull,,
GII,0,SPDR S&P Global Infrastructure ETF,50.66,53.15,1.91,0.5,Neutral,Upward,0.52,4.92,-0.97,4.68,0.98,1.0,0.97,23166.67,0.11,0.86,Uptrend,Bull,,
NANR,0,SPDR S&P North American Natural Resources ETF,48.08,52.1,1.99,0.1,Overbought - Potential Reversal,Upward,0.5,8.38,-1.65,4.98,0.95,0.98,0.93,20286.67,0.19,0.74,Uptrend,Bull,,
PUI,0,Invesco Dorsey Wright Utilities Momentum ETF,31.99,32.47,1.03,0.5,Neutral,Upward,0.97,1.49,-1.37,2.89,0.98,1.01,0.95,2346.67,0.15,0.69,Uptrend,Bear,,
IDU,0,iShares U.S. Utilities ETF,80.43,82.04,3.04,0.5,Neutral,Upward,0.33,2.0,-1.53,3.48,0.98,1.0,0.95,42613.33,0.17,0.63,Uptrend,Bear,,
GUNR,0,FlexShares Morningstar Global Upstream Natural Resources Index Fund,38.76,40.14,1.1,0.1,Overbought - Potential Reversal,Upward,0.91,3.55,-2.04,2.54,0.97,0.99,0.95,758106.67,0.11,0.49,Uptrend,Bull,,
RSPU,0,Invesco S&P 500 Equal Weight Utilities ETF,54.4,55.01,1.92,0.5,Neutral,Upward,0.52,1.12,-2.81,2.86,0.98,1.01,0.95,37406.67,0.13,0.4,Uptrend,Bear,,
XTL,0,SPDR S&P Telecom ETF,76.99,74.54,3.82,0.5,Neutral,Downward,0.26,-3.18,1.36,-3.41,1.01,1.02,1.0,3346.67,-0.11,0.35,Downtrend,Bear,,
FXU,0,First Trust Utilities AlphaDEX Fund,31.33,31.5,1.27,0.5,Neutral,Upward,0.79,0.54,-3.39,2.29,0.98,1.01,0.96,94820.0,0.12,0.3,Uptrend,Bear,,
JXI,0,iShares Global Utilities ETF,56.63,57.49,2.23,0.5,Neutral,Upward,0.45,1.51,-4.68,2.26,0.98,1.0,0.96,7706.67,0.07,0.04,Uptrend,Bear,,
ECLN,0,First Trust EIP Carbon Impact ETF,23.94,23.89,0.81,0.5,Neutral,Upward,1.24,-0.23,-4.2,0.22,0.99,1.01,0.97,3400.0,0.06,0.03,Uptrend,Bear,,
PSCH,0,Invesco S&P SmallCap Health Care ETF,42.97,42.8,2.92,0.5,Neutral,Upward,0.34,-0.39,-3.54,-0.43,1.0,1.02,0.99,27846.67,0.06,-0.06,Downtrend,Bear,,
XLU,0,Utilities Select Sector SPDR Fund,65.0,63.88,2.66,0.5,Neutral,Upward,0.38,-1.73,-5.14,-0.25,0.98,1.0,0.95,14872073.33,0.12,-0.28,Uptrend,Bear,,
FUTY,0,Fidelity MSCI Utilities Index ETF,42.14,41.28,1.78,0.5,Neutral,Upward,0.56,-2.04,-5.15,-0.6,0.98,1.0,0.95,186620.0,0.12,-0.29,Uptrend,Bear,,
INFR,0,ClearBridge Sustainable Infrastructure ETF,23.55,23.79,1.17,0.5,Neutral,Upward,0.85,1.04,-6.47,0.77,0.99,1.01,0.98,73.33,-0.01,-0.32,Uptrend,Bear,,
VPU,0,Vanguard Utilities Index Fund ETF Shares,141.42,138.58,5.99,0.5,Neutral,Upward,0.17,-2.01,-5.08,-0.56,0.98,1.0,0.95,227466.67,0.13,-0.34,Uptrend,Bear,,
RING,0,iShares MSCI Global Gold Miners ETF,22.37,24.19,1.61,0.1,Overbought - Potential Reversal,Upward,0.62,8.14,-5.92,0.43,0.91,1.0,0.84,149613.33,0.14,-0.35,Uptrend,Bear,,
KWEB,0,KraneShares CSI China Internet ETF,27.7,27.11,1.62,0.5,Neutral,Upward,0.62,-2.14,-0.41,-9.08,0.94,0.99,0.91,21526060.0,0.23,-0.42,Uptrend,Bull,,
PSCU,0,Invesco S&P SmallCap Utilities & Communication Services ETF,53.63,51.31,2.11,0.5,Neutral,Downward,0.47,-4.32,-5.63,-3.1,1.0,1.01,0.98,1786.67,-0.03,-0.64,Uptrend,Bear,,
GDXJ,0,VanEck Junior Gold Miners ETF,34.87,36.87,2.64,0.1,Overbought - Potential Reversal,Upward,0.38,5.72,-7.33,-1.98,0.91,0.99,0.85,7401280.0,0.11,-0.84,Uptrend,Bull,,
GDX,0,VanEck Gold Miners ETF,28.86,30.29,2.16,0.1,Overbought - Potential Reversal,Upward,0.46,4.97,-9.05,-2.42,0.92,0.99,0.85,28945593.33,0.12,-1.13,Uptrend,Bull,,
RNEW,0,VanEck Green Infrastructure ETF,24.18,22.56,1.59,0.5,Neutral,Downward,0.63,-6.72,-6.87,-7.1,1.01,1.03,0.98,126.67,0.03,-1.19,Downtrend,Bear,,
MOO,0,VanEck Agribusiness ETF,80.84,73.37,4.55,0.5,Neutral,Upward,0.22,-9.24,-10.95,-9.59,0.99,1.0,0.97,57740.0,0.07,-2.12,Uptrend,Bull,,
XHE,0,SPDR S&P Health Care Equipment ETF,89.97,84.67,9.11,0.5,Neutral,Downward,0.11,-5.89,-12.53,-7.28,1.01,1.02,0.99,24500.0,0.02,-2.13,Downtrend,Bear,,
SILJ,0,Amplify Junior Silver Miners ETF,10.02,9.56,0.92,0.1,Neutral,Upward,1.09,-4.59,-12.29,-8.95,0.89,0.98,0.82,1682420.0,0.12,-2.19,Uptrend,Bull,,
SIL,0,Global X Silver Miners ETF,27.46,26.29,2.19,0.1,Neutral,Upward,0.46,-4.25,-12.23,-10.23,0.92,0.99,0.86,427993.33,0.04,-2.4,Uptrend,Bull,,
LIT,0,Global X Lithium & Battery Tech ETF,58.02,46.47,7.74,0.5,Neutral,Upward,0.13,-19.91,-22.17,-22.27,0.96,1.01,0.92,538980.0,0.14,-5.08,Uptrend,Bear,,
ICLN,0,iShares Global Clean Energy ETF,18.74,13.7,2.12,0.5,Neutral,Downward,0.47,-26.91,-26.6,-25.93,1.02,1.05,1.0,3236260.0,-0.01,-6.05,Downtrend,Bear,,
QCLN,0,First Trust NASDAQ Clean Edge Green Energy Index Fund,48.85,33.96,6.44,0.5,Neutral,Downward,0.16,-30.48,-24.21,-30.7,1.02,1.06,0.99,254313.33,-0.05,-6.22,Downtrend,Bear,,
PBW,0,Invesco WilderHill Clean Energy ETF,36.58,22.42,5.99,0.5,Neutral,Downward,0.17,-38.72,-35.12,-37.97,1.04,1.07,1.01,201640.0,-0.08,-8.58,Downtrend,Bear,,
TAN,0,Invesco Solar ETF,73.16,43.87,12.19,0.5,Neutral,Downward,0.08,-40.04,-39.64,-39.83,1.0,1.06,0.96,1039053.33,0.03,-9.46,Uptrend,Bear,,
