,,longName,L.Year,Today,risk_score,news_overall,avg_news_pos,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
IYM,0,iShares U.S. Basic Materials ETF,126.94,142.66,5.08,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.2,12.38,13.2,15.17,0.97,1.0,0.95,12813.33,0.21,2.2,Uptrend,Bear,,
RSPC,0,Invesco S&P 500 Equal Weight Communication Services ETF,25.48,29.32,1.14,mixed,0.0,0.5,Neutral,Upward,0.88,15.06,13.74,11.98,0.99,1.0,0.98,22360.0,-0.11,2.2,Uptrend,Bear,,
JETS,0,U.S. Global Jets ETF,18.34,19.59,1.67,mostly neutral,0.35,1.0,Neutral,Downward,0.6,6.82,11.37,12.98,1.03,1.04,1.02,2681946.67,0.06,2.18,Downtrend,Bear,,
DRLL,0,Strive U.S. Energy ETF,26.61,29.62,1.26,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.8,11.32,8.35,15.95,0.97,1.0,0.95,33826.67,0.19,2.16,Uptrend,Bull,,
IYE,0,iShares U.S. Energy ETF,41.93,46.49,2.05,mixed,0.0,0.5,Neutral,Upward,0.49,10.89,8.61,15.53,0.98,1.0,0.96,472180.0,0.19,2.12,Uptrend,Bear,,
IHF,0,iShares U.S. Healthcare Providers ETF,46.84,53.54,1.84,mixed,0.0,0.5,Neutral,Upward,0.54,14.3,9.69,14.21,1.0,1.01,0.98,114566.67,0.16,2.1,Uptrend,Bear,,
FXZ,0,First Trust Materials AlphaDEX Fund,63.41,68.28,2.77,mixed,0.0,0.5,Neutral,Upward,0.36,7.68,13.65,12.11,0.98,1.01,0.95,38000.0,0.07,2.09,Uptrend,Bear,,
RSPH,0,Invesco S&P 500 Equal Weight Health Care ETF,28.06,31.69,1.36,mixed,0.0,0.5,Neutral,Upward,0.73,12.93,8.16,13.68,0.99,1.0,0.97,93413.33,0.22,2.03,Uptrend,Bull,,
ROBO,0,Robo Global Robotics and Automation Index ETF,52.12,58.82,3.22,mixed,0.0,0.5,Neutral,Upward,0.31,12.85,12.64,12.04,0.98,1.01,0.95,81480.0,0.11,2.02,Uptrend,Bear,,
IHI,0,iShares U.S. Medical Devices ETF,51.65,58.39,3.48,mixed,0.0,0.5,Neutral,Upward,0.29,13.05,5.32,13.15,0.99,1.0,0.97,1234493.33,0.18,1.74,Uptrend,Bear,,
NFRA,0,FlexShares STOXX Global Broad Infrastructure Index Fund,49.27,54.31,1.85,mixed,0.0,0.5,Neutral,Upward,0.54,10.22,6.15,11.54,0.99,1.0,0.98,42653.33,0.09,1.72,Uptrend,Bear,,
IBB,0,iShares Biotechnology ETF,126.6,138.04,6.14,mixed,0.0,0.5,Neutral,Upward,0.16,9.04,7.46,11.26,1.0,1.02,0.98,2040453.33,0.02,1.67,Downtrend,Bear,,
INFL,0,Horizon Kinetics Inflation Beneficiaries ETF,29.35,31.54,0.7,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,1.44,7.45,4.88,8.1,0.98,0.99,0.96,281586.67,0.14,1.59,Uptrend,Bull,,
EMIF,0,iShares Emerging Markets Infrastructure ETF,20.17,21.77,0.76,mixed,0.0,0.5,Neutral,Upward,1.31,7.91,4.29,7.55,1.0,1.01,0.99,733.33,0.1,1.55,Uptrend,Bear,,
XPH,0,SPDR S&P Pharmaceuticals ETF,40.54,42.75,2.34,mixed,0.0,1.0,Neutral,Downward,0.43,5.45,4.67,8.59,1.04,1.06,1.0,27773.33,-0.01,1.49,Downtrend,Bear,,
JHMU,0,John Hancock Dynamic Municipal Bond ETF,24.89,27.09,0.6,mixed,0.0,0.5,Neutral,Upward,1.67,8.85,1.6,7.11,1.0,1.0,0.99,420.0,0.13,1.47,Uptrend,Bear,,
PBE,0,Invesco Biotechnology & Genome ETF,62.2,65.46,3.31,mixed,0.0,0.5,Neutral,Downward,0.3,5.25,6.9,8.01,1.01,1.03,0.97,26140.0,-0.01,1.45,Downtrend,Bear,,
UTES,0,Virtus Reaves Utilities ETF,44.07,46.25,1.43,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.7,4.95,3.44,9.31,0.98,1.01,0.95,4720.0,0.2,1.43,Uptrend,Bear,,
IDNA,0,iShares Genomics Immunology and Healthcare ETF,23.27,24.17,1.8,mixed,0.0,0.5,Neutral,Upward,0.56,3.87,5.08,7.82,1.0,1.04,0.96,52386.67,0.12,1.42,Downtrend,Bear,,
GLIF,0,AGF Global Infrastructure ETF,24.59,25.81,0.82,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,1.21,4.97,1.5,7.25,0.98,1.0,0.97,1120.0,0.1,1.3,Uptrend,Bull,,
TOLZ,0,ProShares DJ Brookfield Global Infrastructure ETF,43.43,45.69,1.47,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.68,5.21,1.88,8.64,0.98,1.01,0.97,15873.33,0.09,1.29,Uptrend,Bear,,
BBH,0,VanEck Biotech ETF,156.69,166.43,5.59,mixed,0.0,0.5,Neutral,Upward,0.18,6.22,5.95,6.7,0.99,1.0,0.97,6173.33,-0.03,1.27,Uptrend,Bear,,
PJP,0,Invesco Pharmaceuticals ETF,74.18,78.16,2.69,mixed,0.0,0.5,Neutral,Upward,0.37,5.36,2.45,7.57,0.99,1.01,0.98,28320.0,0.06,1.21,Uptrend,Bear,,
IYZ,0,iShares U.S. Telecommunications ETF,21.74,22.07,0.71,mixed,0.0,0.5,Neutral,Downward,1.4,1.52,5.46,1.5,0.99,1.0,0.99,786413.33,-0.27,1.17,Uptrend,Bear,,
BLLD,0,JPMorgan Sustainable Infrastructure ETF,45.3,47.12,1.88,mixed,0.0,0.5,Neutral,Upward,0.53,4.01,1.96,6.48,0.99,1.01,0.97,393.33,0.04,1.15,Uptrend,Bear,,
PUI,0,Invesco Dorsey Wright Utilities Momentum ETF,31.82,32.52,1.03,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.97,2.2,-0.35,6.39,0.98,1.01,0.95,2073.33,0.15,1.1,Uptrend,Bear,,
PICK,0,iShares MSCI Global Metals & Mining Producers ETF,40.05,40.03,1.54,mixed,0.0,0.5,Neutral,Upward,0.65,-0.06,3.2,4.1,0.99,1.01,0.98,149733.33,-0.05,1.07,Uptrend,Bear,,
GNR,0,SPDR S&P Global Natural Resources ETF,54.15,55.07,1.44,mixed,0.0,0.5,Neutral,Upward,0.69,1.7,1.94,4.74,0.98,1.0,0.96,364900.0,0.08,1.07,Uptrend,Bull,,
COPX,0,Global X Copper Miners ETF,35.96,38.11,2.01,mixed,0.0,0.5,Neutral,Upward,0.5,5.98,0.29,6.62,0.96,1.0,0.93,848193.33,0.08,1.07,Uptrend,Bear,,
ARKG,0,ARK Genomic Revolution ETF,28.9,29.46,3.18,mixed,0.0,0.5,Neutral,Downward,0.31,1.94,2.59,4.17,1.05,1.12,1.02,2327433.33,-0.03,0.99,Downtrend,Bear,,
FXH,0,First Trust Health Care AlphaDEX Fund,104.13,108.73,4.92,mixed,0.0,0.5,Neutral,Upward,0.2,4.42,1.4,5.52,0.99,1.0,0.97,23773.33,0.2,0.99,Uptrend,Bear,,
IGF,0,iShares Global Infrastructure ETF,45.26,46.44,1.67,mixed,0.0,0.5,Neutral,Upward,0.6,2.61,-0.47,4.79,0.98,1.0,0.97,284913.33,0.08,0.93,Uptrend,Bear,,
GII,0,SPDR S&P Global Infrastructure ETF,51.41,52.88,1.91,mixed,0.0,0.5,Neutral,Upward,0.52,2.86,-0.31,4.85,0.98,1.0,0.97,23780.0,0.08,0.92,Uptrend,Bear,,
FXU,0,First Trust Utilities AlphaDEX Fund,31.28,31.51,1.26,mixed,0.0,0.5,Neutral,Upward,0.79,0.73,-1.88,4.91,0.98,1.01,0.96,103806.67,0.12,0.92,Uptrend,Bear,,
RSPU,0,Invesco S&P 500 Equal Weight Utilities ETF,53.86,54.89,1.92,mixed,0.0,0.5,Neutral,Upward,0.52,1.92,-2.06,5.88,0.98,1.01,0.95,37680.0,0.12,0.91,Uptrend,Bear,,
IDU,0,iShares U.S. Utilities ETF,79.56,81.55,3.04,mixed,0.0,0.5,Neutral,Upward,0.33,2.5,-1.05,5.77,0.98,1.01,0.96,42653.33,0.15,0.91,Uptrend,Bear,,
FBT,0,First Trust NYSE Arca Biotechnology Index Fund,152.27,154.57,6.23,mixed,0.0,0.5,Neutral,Upward,0.16,1.51,2.24,3.68,0.99,1.01,0.96,30500.0,0.04,0.87,Uptrend,Bear,,
ECLN,0,First Trust EIP Carbon Impact ETF,24.1,23.94,0.81,mixed,0.0,0.5,Neutral,Upward,1.24,-0.64,-2.96,2.32,0.98,1.01,0.97,3500.0,0.08,0.79,Uptrend,Bear,,
GUNR,0,FlexShares Morningstar Global Upstream Natural Resources Index Fund,40.41,39.57,1.1,mixed,0.0,0.5,Neutral,Upward,0.91,-2.09,-2.86,0.93,0.98,1.0,0.97,740626.67,0.07,0.62,Uptrend,Bear,,
JXI,0,iShares Global Utilities ETF,56.45,57.14,2.23,mixed,0.0,0.5,Neutral,Upward,0.45,1.22,-4.17,3.43,0.98,1.01,0.96,7546.67,0.05,0.61,Uptrend,Bear,,
NANR,0,SPDR S&P North American Natural Resources ETF,50.16,50.96,1.99,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.5,1.58,-2.93,2.88,0.97,1.0,0.95,20900.0,0.15,0.6,Uptrend,Bear,,
XTL,0,SPDR S&P Telecom ETF,78.03,75.2,3.83,mixed,0.0,0.5,Neutral,Downward,0.26,-3.63,3.7,-2.59,1.0,1.01,0.99,3353.33,-0.13,0.52,Downtrend,Bear,,
FUTY,0,Fidelity MSCI Utilities Index ETF,41.66,41.03,1.78,mixed,0.0,0.5,Neutral,Upward,0.56,-1.5,-4.55,1.87,0.98,1.01,0.95,186933.33,0.1,0.51,Uptrend,Bear,,
XLU,0,Utilities Select Sector SPDR Fund,64.13,63.45,2.66,mostly neutral,0.11,0.5,Neutral,Upward,0.38,-1.06,-4.65,2.18,0.98,1.01,0.96,15061833.33,0.09,0.48,Uptrend,Bear,,
INFR,0,ClearBridge Sustainable Infrastructure ETF,23.81,23.74,1.17,mostly neutral,0.94,0.5,Neutral,Upward,0.85,-0.3,-5.79,1.26,0.99,1.01,0.98,73.33,-0.02,0.47,Uptrend,Bear,,
PSCH,0,Invesco S&P SmallCap Health Care ETF,43.34,42.76,2.92,mixed,0.0,0.5,Neutral,Upward,0.34,-1.34,-2.71,0.72,1.0,1.03,0.99,29286.67,0.02,0.47,Downtrend,Bear,,
VPU,0,Vanguard Utilities Index Fund ETF Shares,139.79,137.72,5.99,mixed,0.0,0.5,Neutral,Upward,0.17,-1.48,-4.56,1.95,0.98,1.01,0.95,224913.33,0.11,0.42,Uptrend,Bear,,
PSCU,0,Invesco S&P SmallCap Utilities & Communication Services ETF,53.7,51.37,2.11,mixed,0.0,0.5,Neutral,Upward,0.47,-4.33,-4.13,-2.36,1.0,1.01,0.98,1793.33,-0.05,0.21,Uptrend,Bear,,
RING,0,iShares MSCI Global Gold Miners ETF,22.2,23.71,1.61,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.62,6.79,-6.72,-0.55,0.92,1.02,0.86,149486.67,0.1,0.19,Uptrend,Bear,,
RNEW,0,VanEck Green Infrastructure ETF,24.79,22.79,1.58,mixed,0.0,0.5,Neutral,Downward,0.63,-8.04,-3.57,-5.78,1.0,1.02,0.97,133.33,0.04,0.04,Downtrend,Bear,,
KWEB,0,KraneShares CSI China Internet ETF,28.44,26.8,1.62,mixed,0.0,0.5,Neutral,Upward,0.62,-5.77,-0.03,-10.06,0.95,0.98,0.92,20938726.67,0.18,-0.09,Uptrend,Bull,,
GDXJ,0,VanEck Junior Gold Miners ETF,35.23,36.12,2.64,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.38,2.52,-7.91,-3.46,0.93,1.01,0.86,7325833.33,0.07,-0.14,Uptrend,Bear,,
GDX,0,VanEck Gold Miners ETF,28.86,29.58,2.16,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.46,2.51,-9.79,-3.97,0.93,1.02,0.87,28739266.67,0.08,-0.25,Uptrend,Bear,,
XHE,0,SPDR S&P Health Care Equipment ETF,90.71,85.26,9.12,mixed,0.0,0.5,Neutral,Downward,0.11,-6.01,-11.93,-5.45,1.01,1.02,0.99,24960.0,-0.01,-0.48,Downtrend,Bear,,
MOO,0,VanEck Agribusiness ETF,83.23,73.05,4.56,mixed,0.0,0.5,Neutral,Upward,0.22,-12.24,-10.85,-10.11,0.99,1.0,0.98,58060.0,0.05,-0.73,Uptrend,Bear,,
SILJ,0,Amplify Junior Silver Miners ETF,10.16,9.34,0.92,mixed,0.0,0.1,Neutral,Upward,1.09,-8.07,-13.6,-10.96,0.9,1.0,0.84,1582533.33,0.04,-0.78,Uptrend,Bear,,
SIL,0,Global X Silver Miners ETF,27.84,25.76,2.2,mixed,0.0,0.1,Neutral,Upward,0.46,-7.46,-13.07,-11.86,0.93,1.01,0.88,418300.0,-0.02,-0.98,Uptrend,Bear,,
LIT,0,Global X Lithium & Battery Tech ETF,59.73,46.5,7.73,mixed,0.0,0.5,Neutral,Upward,0.13,-22.14,-20.2,-22.63,0.95,1.01,0.91,535560.0,0.11,-2.1,Uptrend,Bear,,
ICLN,0,iShares Global Clean Energy ETF,19.2,13.94,2.13,mixed,0.0,0.5,Neutral,Downward,0.47,-27.38,-23.99,-24.95,1.0,1.03,0.98,3245660.0,-0.01,-2.36,Downtrend,Bear,,
QCLN,0,First Trust NASDAQ Clean Edge Green Energy Index Fund,50.43,34.67,6.43,mixed,0.0,0.5,Neutral,Downward,0.16,-31.25,-21.56,-29.9,1.01,1.04,0.97,246106.67,-0.05,-2.67,Downtrend,Bear,,
PBW,0,Invesco WilderHill Clean Energy ETF,38.02,22.88,5.97,mixed,0.0,0.5,Neutral,Downward,0.17,-39.82,-32.42,-37.16,1.02,1.06,0.99,207366.67,-0.09,-3.71,Downtrend,Bear,,
TAN,0,Invesco Solar ETF,75.55,44.62,12.21,mixed,0.0,0.5,Neutral,Upward,0.08,-40.94,-37.49,-39.3,0.98,1.04,0.94,1057226.67,0.03,-4.14,Uptrend,Bear,,
