,,longName,L.Year,Today,risk_score,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
DRLL,0,Strive U.S. Energy ETF,26.39,29.33,1.25,0.1,Overbought - Potential Reversal,Upward,0.8,11.13,5.89,13.33,0.98,1.0,0.96,37286.67,0.19,2.76,Uptrend,Bull,,
IBB,0,iShares Biotechnology ETF,125.02,138.65,6.08,0.5,Neutral,Upward,0.16,10.9,6.48,12.76,0.99,1.02,0.97,2148233.33,0.07,2.73,Uptrend,Bear,,
IYE,0,iShares U.S. Energy ETF,41.61,46.16,2.04,0.1,Overbought - Potential Reversal,Upward,0.49,10.92,5.85,13.27,0.98,1.0,0.96,511993.33,0.19,2.7,Uptrend,Bull,,
IHI,0,iShares U.S. Medical Devices ETF,50.75,58.62,3.46,0.5,Neutral,Upward,0.29,15.52,4.98,13.41,0.98,1.0,0.97,1088640.0,0.24,2.6,Uptrend,Bear,,
IDNA,0,iShares Genomics Immunology and Healthcare ETF,22.89,24.42,1.8,0.5,Neutral,Upward,0.56,6.67,4.9,9.51,0.99,1.03,0.95,54613.33,0.18,2.24,Uptrend,Bear,,
XPH,0,SPDR S&P Pharmaceuticals ETF,39.82,43.01,2.34,0.5,Neutral,Downward,0.43,8.02,4.45,8.54,1.04,1.06,1.02,33606.67,0.06,2.06,Downtrend,Bear,,
ARKG,0,ARK Genomic Revolution ETF,28.48,30.37,3.19,0.5,Neutral,Downward,0.31,6.64,4.33,8.12,1.02,1.09,0.99,2454360.0,0.05,1.98,Downtrend,Bear,,
NFRA,0,FlexShares STOXX Global Broad Infrastructure Index Fund,50.1,54.46,1.77,0.1,Overbought - Potential Reversal,Upward,0.57,8.7,3.24,8.85,0.98,1.0,0.97,46580.0,0.12,1.87,Uptrend,Bull,,
INFL,0,Horizon Kinetics Inflation Beneficiaries ETF,28.9,31.26,0.7,0.1,Overbought - Potential Reversal,Upward,1.43,8.16,3.24,6.78,0.98,1.0,0.97,133940.0,0.14,1.8,Uptrend,Bear,,
BBH,0,VanEck Biotech ETF,155.22,165.41,5.56,0.5,Neutral,Upward,0.18,6.57,3.55,7.18,0.99,1.01,0.97,6053.33,-0.03,1.72,Uptrend,Bear,,
PICK,0,iShares MSCI Global Metals & Mining Producers ETF,39.74,40.35,1.54,0.5,Neutral,Upward,0.65,1.54,4.54,4.39,0.98,1.0,0.97,149086.67,0.01,1.66,Uptrend,Bear,,
PJP,0,Invesco Pharmaceuticals ETF,73.33,78.33,2.68,0.5,Neutral,Upward,0.37,6.81,1.4,7.91,0.99,1.0,0.98,28613.33,0.09,1.51,Uptrend,Bear,,
JHMU,0,John Hancock Dynamic Municipal Bond ETF,25.16,27.11,0.53,0.5,Neutral,Upward,1.9,7.77,0.72,6.04,1.0,1.0,0.99,580.0,0.11,1.46,Uptrend,Bear,,
EMIF,0,iShares Emerging Markets Infrastructure ETF,20.76,21.82,0.75,0.5,Neutral,Upward,1.33,5.11,2.83,3.36,0.99,1.0,0.96,1093.33,0.1,1.42,Uptrend,Bear,,
COPX,0,Global X Copper Miners ETF,35.52,38.04,2.0,0.5,Neutral,Upward,0.5,7.1,0.96,6.86,0.95,1.0,0.93,834273.33,0.08,1.35,Uptrend,Bull,,
UTES,0,Virtus Reaves Utilities ETF,44.23,46.62,1.55,0.1,Overbought - Potential Reversal,Upward,0.64,5.4,-0.18,7.52,0.96,1.0,0.94,4506.67,0.26,1.25,Uptrend,Bear,,
BLLD,0,JPMorgan Sustainable Infrastructure ETF,45.34,47.57,1.81,0.1,Overbought - Potential Reversal,Upward,0.55,4.92,0.35,5.85,0.97,1.0,0.96,380.0,0.1,1.13,Uptrend,Bear,,
GNR,0,SPDR S&P Global Natural Resources ETF,53.68,54.91,1.44,0.1,Overbought - Potential Reversal,Upward,0.69,2.3,1.26,3.74,0.98,1.0,0.97,357260.0,0.1,1.08,Uptrend,Bear,,
FXH,0,First Trust Health Care AlphaDEX Fund,102.98,108.76,4.91,0.5,Neutral,Upward,0.2,5.61,0.47,5.05,0.99,1.0,0.97,26200.0,0.25,1.08,Uptrend,Bull,,
FBT,0,First Trust NYSE Arca Biotechnology Index Fund,150.68,155.01,6.23,0.1,Overbought - Potential Reversal,Upward,0.16,2.87,1.23,4.17,0.98,1.0,0.96,30520.0,0.08,1.04,Uptrend,Bull,,
GLIF,0,AGF Global Infrastructure ETF,25.0,25.75,0.87,0.1,Overbought - Potential Reversal,Upward,1.16,2.98,-0.31,3.44,0.98,1.0,0.95,1646.67,0.1,0.88,Uptrend,Bear,,
TOLZ,0,ProShares DJ Brookfield Global Infrastructure ETF,44.55,45.78,1.56,0.1,Overbought - Potential Reversal,Upward,0.64,2.76,-1.17,4.88,0.98,1.0,0.96,6633.33,0.14,0.83,Uptrend,Bull,,
IYZ,0,iShares U.S. Telecommunications ETF,22.0,21.91,0.69,0.5,Neutral,Downward,1.45,-0.41,1.81,-1.44,1.0,1.02,0.99,825980.0,-0.26,0.77,Downtrend,Bear,,
XTL,0,SPDR S&P Telecom ETF,77.19,75.03,3.87,0.5,Neutral,Downward,0.26,-2.8,1.79,-3.46,1.01,1.04,0.99,3453.33,-0.11,0.41,Downtrend,Bear,,
PUI,0,Invesco Dorsey Wright Utilities Momentum ETF,32.14,32.65,1.17,0.1,Overbought - Potential Reversal,Upward,0.85,1.59,-3.97,3.49,0.97,1.0,0.95,11226.67,0.2,0.3,Uptrend,Bear,,
PSCH,0,Invesco S&P SmallCap Health Care ETF,42.37,43.19,2.93,0.5,Neutral,Upward,0.34,1.95,-2.75,1.47,0.99,1.01,0.98,30960.0,0.06,0.24,Uptrend,Bear,,
GUNR,0,FlexShares Morningstar Global Upstream Natural Resources Index Fund,40.1,39.54,1.11,0.5,Neutral,Upward,0.9,-1.38,-3.05,0.16,0.98,1.0,0.97,756020.0,0.11,0.15,Uptrend,Bear,,
NANR,0,SPDR S&P North American Natural Resources ETF,49.75,50.59,1.99,0.1,Overbought - Potential Reversal,Upward,0.5,1.69,-4.4,1.83,0.97,1.0,0.95,25893.33,0.16,0.02,Uptrend,Bull,,
RSPU,0,Invesco S&P 500 Equal Weight Utilities ETF,54.69,55.16,2.19,0.5,Neutral,Upward,0.46,0.85,-5.73,2.73,0.97,1.0,0.95,44186.67,0.17,-0.06,Uptrend,Bull,,
IDU,0,iShares U.S. Utilities ETF,80.65,81.81,3.39,0.1,Overbought - Potential Reversal,Upward,0.29,1.44,-5.03,2.24,0.97,1.0,0.96,41273.33,0.2,-0.06,Uptrend,Bull,,
IGF,0,iShares Global Infrastructure ETF,46.31,46.45,1.8,0.1,Overbought - Potential Reversal,Upward,0.55,0.3,-4.4,0.93,0.98,1.0,0.97,308333.33,0.1,-0.07,Uptrend,Bull,,
FXU,0,First Trust Utilities AlphaDEX Fund,31.56,31.64,1.4,0.5,Neutral,Upward,0.71,0.25,-5.69,1.35,0.97,1.0,0.95,116733.33,0.15,-0.15,Uptrend,Bull,,
GII,0,SPDR S&P Global Infrastructure ETF,52.78,52.85,2.06,0.1,Overbought - Potential Reversal,Upward,0.49,0.13,-4.83,0.57,0.98,1.0,0.97,16413.33,0.1,-0.18,Uptrend,Bull,,
ECLN,0,First Trust EIP Carbon Impact ETF,24.48,23.97,0.93,0.5,Neutral,Upward,1.07,-2.1,-6.75,-1.11,0.98,1.0,0.97,3566.67,0.11,-0.51,Uptrend,Bull,,
RING,0,iShares MSCI Global Gold Miners ETF,22.17,23.61,1.61,0.1,Overbought - Potential Reversal,Upward,0.62,6.48,-8.32,1.24,0.91,1.0,0.86,108773.33,0.11,-0.63,Uptrend,Bear,,
INFR,0,ClearBridge Sustainable Infrastructure ETF,24.08,23.93,1.27,0.5,Neutral,Upward,0.79,-0.61,-8.05,-0.95,0.98,1.0,0.97,73.33,0.03,-0.74,Uptrend,Bear,,
JXI,0,iShares Global Utilities ETF,57.61,57.59,2.57,0.1,Overbought - Potential Reversal,Upward,0.39,-0.03,-8.14,-0.21,0.97,1.0,0.95,8200.0,0.1,-0.77,Uptrend,Bull,,
RNEW,0,VanEck Green Infrastructure ETF,24.72,23.15,1.63,0.5,Neutral,Upward,0.61,-6.35,-5.76,-5.01,0.99,1.02,0.96,166.67,0.14,-0.81,Uptrend,Bear,,
FUTY,0,Fidelity MSCI Utilities Index ETF,42.38,41.2,2.07,0.5,Neutral,Upward,0.48,-2.78,-8.63,-1.15,0.97,1.0,0.95,197220.0,0.14,-0.88,Uptrend,Bull,,
XLU,0,Utilities Select Sector SPDR Fund,65.41,63.75,3.11,0.5,Neutral,Upward,0.32,-2.54,-8.8,-0.95,0.97,1.0,0.95,15135893.33,0.14,-0.91,Uptrend,Bull,,
PSCU,0,Invesco S&P SmallCap Utilities & Communication Services ETF,53.8,51.39,2.29,0.5,Neutral,Upward,0.44,-4.48,-7.67,-3.94,1.0,1.04,0.98,1833.33,-0.02,-1.03,Uptrend,Bear,,
VPU,0,Vanguard Utilities Index Fund ETF Shares,142.64,138.29,7.07,0.5,Neutral,Upward,0.14,-3.05,-8.86,-2.21,0.97,1.0,0.95,219526.67,0.15,-1.07,Uptrend,Bull,,
GDXJ,0,VanEck Junior Gold Miners ETF,34.89,35.93,2.65,0.1,Overbought - Potential Reversal,Upward,0.38,2.97,-9.58,-2.05,0.92,1.0,0.87,6906213.33,0.07,-1.19,Uptrend,Bear,,
GDX,0,VanEck Gold Miners ETF,28.63,29.64,2.16,0.1,Overbought - Potential Reversal,Upward,0.46,3.53,-10.79,-1.42,0.92,1.0,0.87,27547726.67,0.09,-1.29,Uptrend,Bull,,
KWEB,0,KraneShares CSI China Internet ETF,28.19,24.97,1.63,0.5,Neutral,Downward,0.61,-11.41,-4.91,-12.17,1.02,1.05,0.99,19724186.67,0.03,-1.4,Downtrend,Bear,,
XHE,0,SPDR S&P Health Care Equipment ETF,88.68,86.32,9.14,0.5,Neutral,Upward,0.11,-2.66,-11.08,-4.5,1.0,1.0,0.98,28640.0,0.07,-1.64,Uptrend,Bear,,
MOO,0,VanEck Agribusiness ETF,81.97,72.71,4.57,0.5,Neutral,Upward,0.22,-11.3,-11.33,-11.17,0.99,1.0,0.98,56646.67,0.07,-2.33,Uptrend,Bear,,
SIL,0,Global X Silver Miners ETF,27.46,25.39,2.2,0.5,Neutral,Upward,0.45,-7.53,-15.04,-11.35,0.94,1.0,0.89,394153.33,0.01,-2.89,Uptrend,Bear,,
SILJ,0,Amplify Junior Silver Miners ETF,10.03,9.08,0.92,0.1,Neutral,Upward,1.08,-9.47,-16.39,-12.27,0.91,1.0,0.86,1490380.0,0.0,-3.13,Uptrend,Bear,,
ICLN,0,iShares Global Clean Energy ETF,18.99,14.34,2.13,0.5,Neutral,Upward,0.47,-24.48,-25.03,-22.22,0.98,1.03,0.95,3462880.0,0.05,-5.45,Uptrend,Bear,,
LIT,0,Global X Lithium & Battery Tech ETF,59.72,44.18,7.71,0.5,Neutral,Upward,0.13,-26.02,-23.2,-26.07,1.0,1.07,0.95,559266.67,0.04,-5.61,Uptrend,Bear,,
QCLN,0,First Trust NASDAQ Clean Edge Green Energy Index Fund,49.77,35.21,6.41,0.5,Neutral,Downward,0.16,-29.25,-23.89,-28.06,1.0,1.06,0.95,220720.0,0.02,-5.91,Uptrend,Bear,,
PBW,0,Invesco WilderHill Clean Energy ETF,38.0,23.46,5.93,0.5,Neutral,Downward,0.17,-38.26,-32.95,-35.18,1.01,1.09,0.96,253860.0,-0.02,-7.97,Downtrend,Bear,,
TAN,0,Invesco Solar ETF,75.06,45.77,12.23,0.5,Neutral,Upward,0.08,-39.02,-39.42,-36.8,0.96,1.04,0.92,1016740.0,0.06,-9.13,Uptrend,Bear,,
