,,longName,L.Year,Today,risk_score,news_overall,avg_news_pos,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
IYM,0,iShares U.S. Basic Materials ETF,125.36,142.98,5.02,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.2,14.05,12.27,15.5,0.97,1.0,0.95,13340.0,0.23,2.17,Uptrend,Bull,,
IXC,0,iShares Global Energy ETF,35.69,40.62,1.74,mixed,0.0,0.5,Neutral,Upward,0.58,13.8,8.13,16.19,0.98,0.99,0.96,464693.33,0.15,2.16,Uptrend,Bull,,
IXJ,0,iShares Global Healthcare ETF,78.54,92.69,3.22,mixed,0.0,0.5,Neutral,Upward,0.31,18.01,8.33,16.55,0.99,1.0,0.98,118940.0,0.28,2.14,Uptrend,Bear,,
XLE,0,Energy Select Sector SPDR Fund,78.08,89.08,4.07,mostly neutral,0.14,0.5,Neutral,Upward,0.25,14.08,7.96,16.16,0.97,0.99,0.95,14308206.67,0.2,2.07,Uptrend,Bull,,
FXZ,0,First Trust Materials AlphaDEX Fund,62.55,68.6,2.75,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.36,9.67,12.73,12.2,0.97,1.0,0.95,40153.33,0.09,2.0,Uptrend,Bear,,
DRLL,0,Strive U.S. Energy ETF,26.39,29.62,1.25,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.8,12.23,6.94,14.46,0.97,0.99,0.95,35813.33,0.19,1.98,Uptrend,Bull,,
IHF,0,iShares U.S. Healthcare Providers ETF,46.56,53.57,1.84,mixed,0.0,0.5,Neutral,Upward,0.54,15.05,8.44,13.22,1.0,1.01,0.98,115486.67,0.2,1.97,Uptrend,Bear,,
RSPH,0,Invesco S&P 500 Equal Weight Health Care ETF,27.76,31.64,1.35,mixed,0.0,0.5,Neutral,Upward,0.74,13.98,7.24,13.03,0.99,1.0,0.97,94806.67,0.25,1.95,Uptrend,Bull,,
ROBO,0,Robo Global Robotics and Automation Index ETF,51.67,58.27,3.21,mixed,0.0,0.5,Neutral,Upward,0.31,12.77,11.12,11.93,0.98,1.02,0.96,80833.33,0.11,1.94,Uptrend,Bear,,
IYE,0,iShares U.S. Energy ETF,41.61,46.61,2.05,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.49,12.0,6.88,14.38,0.97,0.99,0.95,498746.67,0.2,1.9,Uptrend,Bull,,
IBB,0,iShares Biotechnology ETF,125.02,138.7,6.11,mixed,0.0,0.5,Neutral,Upward,0.16,10.94,6.52,12.8,0.99,1.02,0.97,2080893.33,0.07,1.74,Uptrend,Bear,,
NFRA,0,FlexShares STOXX Global Broad Infrastructure Index Fund,48.8,54.47,1.84,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.54,11.62,5.74,11.49,0.99,1.0,0.97,43613.33,0.13,1.65,Uptrend,Bull,,
IHI,0,iShares U.S. Medical Devices ETF,50.75,58.07,3.47,mixed,0.0,0.5,Neutral,Upward,0.29,14.43,3.99,12.34,0.99,1.01,0.98,1056826.67,0.2,1.62,Uptrend,Bear,,
PBE,0,Invesco Biotechnology & Genome ETF,61.01,66.1,3.31,mixed,0.0,0.5,Neutral,Upward,0.3,8.35,6.72,9.97,0.99,1.02,0.96,25626.67,0.05,1.58,Uptrend,Bear,,
IDNA,0,iShares Genomics Immunology and Healthcare ETF,22.89,24.42,1.8,mixed,0.0,0.5,Neutral,Upward,0.56,6.67,4.9,9.51,0.99,1.03,0.95,52806.67,0.18,1.53,Uptrend,Bear,,
EMIF,0,iShares Emerging Markets Infrastructure ETF,20.22,21.72,0.76,mixed,0.0,0.5,Neutral,Upward,1.32,7.41,5.08,5.62,1.0,1.01,0.98,1080.0,0.09,1.45,Downtrend,Bear,,
INFL,0,Horizon Kinetics Inflation Beneficiaries ETF,28.9,31.34,0.7,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,1.43,8.44,3.5,7.05,0.98,1.0,0.97,290740.0,0.14,1.45,Uptrend,Bull,,
JHMU,0,John Hancock Dynamic Municipal Bond ETF,24.89,27.11,0.6,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,1.67,8.93,1.67,7.19,1.0,1.0,0.99,533.33,0.18,1.43,Uptrend,Bear,,
XPH,0,SPDR S&P Pharmaceuticals ETF,39.82,42.76,2.34,mixed,0.0,0.5,Neutral,Downward,0.43,7.39,3.84,7.91,1.04,1.06,1.01,34026.67,0.03,1.34,Downtrend,Bear,,
UTES,0,Virtus Reaves Utilities ETF,43.4,46.52,1.42,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.7,7.18,1.5,9.33,0.97,1.0,0.94,4606.67,0.24,1.33,Uptrend,Bear,,
BBH,0,VanEck Biotech ETF,155.22,166.9,5.58,mixed,0.0,0.5,Neutral,Upward,0.18,7.53,4.49,8.15,0.99,1.0,0.97,6173.33,0.01,1.3,Uptrend,Bull,,
TOLZ,0,ProShares DJ Brookfield Global Infrastructure ETF,43.05,45.95,1.46,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.68,6.73,2.06,8.31,0.97,1.0,0.96,9840.0,0.13,1.27,Uptrend,Bull,,
GLIF,0,AGF Global Infrastructure ETF,24.3,25.69,0.82,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,1.22,5.73,1.86,6.2,0.98,1.0,0.95,1373.33,0.09,1.25,Uptrend,Bear,,
COPX,0,Global X Copper Miners ETF,35.52,38.3,2.0,mixed,0.0,0.5,Neutral,Upward,0.5,7.83,1.65,7.59,0.95,0.99,0.93,850266.67,0.11,1.2,Uptrend,Bull,,
PJP,0,Invesco Pharmaceuticals ETF,73.33,78.29,2.69,mixed,0.0,0.5,Neutral,Upward,0.37,6.76,1.35,7.85,0.99,1.01,0.98,28200.0,0.08,1.18,Uptrend,Bear,,
ARKG,0,ARK Genomic Revolution ETF,28.48,29.95,3.18,mixed,0.0,0.5,Neutral,Downward,0.31,5.16,2.89,6.62,1.03,1.1,1.0,2393593.33,0.05,1.18,Downtrend,Bear,,
BLLD,0,JPMorgan Sustainable Infrastructure ETF,44.6,47.54,1.87,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.53,6.61,1.96,7.56,0.98,1.0,0.96,380.0,0.1,1.18,Uptrend,Bear,,
IYZ,0,iShares U.S. Telecommunications ETF,21.49,22.15,0.71,mixed,0.0,0.5,Neutral,Upward,1.4,3.1,4.62,2.03,0.99,1.0,0.98,807186.67,-0.23,1.16,Uptrend,Bear,,
PICK,0,iShares MSCI Global Metals & Mining Producers ETF,39.74,39.91,1.54,mixed,0.0,0.5,Neutral,Upward,0.65,0.44,3.4,3.25,1.0,1.02,0.98,150240.0,-0.03,1.02,Uptrend,Bear,,
PUI,0,Invesco Dorsey Wright Utilities Momentum ETF,31.4,32.73,1.03,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.97,4.24,-1.78,5.85,0.97,1.0,0.95,2240.0,0.2,0.99,Uptrend,Bull,,
GNR,0,SPDR S&P Global Natural Resources ETF,53.68,55.0,1.44,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.69,2.47,1.43,3.91,0.98,1.0,0.96,360093.33,0.08,0.93,Uptrend,Bear,,
FXH,0,First Trust Health Care AlphaDEX Fund,102.98,108.65,4.91,mixed,0.0,0.5,Neutral,Upward,0.2,5.5,0.37,4.94,0.99,1.0,0.97,25506.67,0.23,0.9,Uptrend,Bear,,
FBT,0,First Trust NYSE Arca Biotechnology Index Fund,150.68,155.99,6.22,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.16,3.52,1.87,4.83,0.97,0.99,0.95,30513.33,0.1,0.89,Uptrend,Bull,,
IGF,0,iShares Global Infrastructure ETF,44.78,46.51,1.67,mixed,0.0,0.5,Neutral,Upward,0.6,3.86,-1.02,4.51,0.98,1.0,0.97,290386.67,0.09,0.88,Uptrend,Bull,,
GII,0,SPDR S&P Global Infrastructure ETF,50.86,52.92,1.9,mixed,0.0,0.5,Neutral,Upward,0.53,4.05,-1.1,4.51,0.98,1.0,0.97,15193.33,0.09,0.86,Uptrend,Bull,,
RSPU,0,Invesco S&P 500 Equal Weight Utilities ETF,53.14,55.4,1.92,mixed,0.0,0.5,Neutral,Upward,0.52,4.26,-3.07,5.63,0.97,1.0,0.95,38113.33,0.17,0.84,Uptrend,Bull,,
IDU,0,iShares U.S. Utilities ETF,78.43,82.13,3.03,mixed,0.0,0.5,Neutral,Upward,0.33,4.72,-2.6,5.54,0.97,1.0,0.95,39586.67,0.2,0.82,Uptrend,Bull,,
FXU,0,First Trust Utilities AlphaDEX Fund,30.76,31.75,1.26,mixed,0.0,0.5,Neutral,Upward,0.79,3.23,-3.35,4.35,0.97,1.0,0.95,113373.33,0.16,0.81,Uptrend,Bull,,
ECLN,0,First Trust EIP Carbon Impact ETF,23.87,24.11,0.81,mixed,0.0,0.5,Neutral,Upward,1.24,1.04,-4.22,2.06,0.98,0.99,0.96,3600.0,0.13,0.71,Uptrend,Bull,,
INFR,0,ClearBridge Sustainable Infrastructure ETF,23.37,24.0,1.17,mostly neutral,0.94,0.5,Neutral,Upward,0.85,2.68,-5.0,2.33,0.98,1.0,0.97,73.33,0.03,0.59,Uptrend,Bull,,
JXI,0,iShares Global Utilities ETF,55.61,57.65,2.23,mixed,0.0,0.5,Neutral,Upward,0.45,3.67,-4.73,3.49,0.97,1.0,0.95,7960.0,0.11,0.59,Uptrend,Bull,,
GUNR,0,FlexShares Morningstar Global Upstream Natural Resources Index Fund,40.1,39.61,1.1,mixed,0.0,0.5,Neutral,Upward,0.91,-1.21,-2.88,0.34,0.98,1.0,0.97,738113.33,0.09,0.58,Uptrend,Bull,,
NANR,0,SPDR S&P North American Natural Resources ETF,49.75,51.08,1.99,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.5,2.68,-3.47,2.82,0.96,0.99,0.94,22180.0,0.18,0.57,Uptrend,Bull,,
RING,0,iShares MSCI Global Gold Miners ETF,22.17,24.22,1.61,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.62,9.23,-5.95,3.86,0.9,0.98,0.84,150000.0,0.15,0.52,Uptrend,Bull,,
XTL,0,SPDR S&P Telecom ETF,76.54,75.29,3.83,mixed,0.0,0.5,Neutral,Downward,0.26,-1.64,2.76,-2.54,1.0,1.02,0.99,3440.0,-0.11,0.48,Downtrend,Bear,,
PSCH,0,Invesco S&P SmallCap Health Care ETF,42.37,42.88,2.92,mixed,0.0,0.5,Neutral,Upward,0.34,1.21,-3.45,0.74,1.0,1.02,0.99,29260.0,0.06,0.44,Downtrend,Bear,,
FUTY,0,Fidelity MSCI Utilities Index ETF,41.05,41.38,1.78,mixed,0.0,0.5,Neutral,Upward,0.56,0.79,-6.04,1.65,0.97,1.0,0.95,189386.67,0.15,0.42,Uptrend,Bull,,
XLU,0,Utilities Select Sector SPDR Fund,63.3,64.07,2.66,mostly neutral,0.11,0.5,Neutral,Upward,0.38,1.22,-5.98,2.12,0.97,1.0,0.95,14837666.67,0.15,0.41,Uptrend,Bull,,
VPU,0,Vanguard Utilities Index Fund ETF Shares,137.74,138.95,5.99,mixed,0.0,0.5,Neutral,Upward,0.17,0.88,-5.94,1.75,0.97,1.0,0.95,226893.33,0.16,0.34,Uptrend,Bull,,
PSCU,0,Invesco S&P SmallCap Utilities & Communication Services ETF,52.92,51.69,2.11,mixed,0.0,0.5,Neutral,Upward,0.47,-2.32,-5.92,-2.12,0.99,1.0,0.98,1846.67,-0.01,0.13,Uptrend,Bear,,
GDXJ,0,VanEck Junior Gold Miners ETF,34.89,36.6,2.64,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.38,4.89,-7.9,-0.22,0.91,0.99,0.85,7083293.33,0.11,0.08,Uptrend,Bull,,
GDX,0,VanEck Gold Miners ETF,28.63,30.13,2.16,mostly neutral,0.61,0.1,Overbought - Potential Reversal,Upward,0.46,5.24,-9.31,0.21,0.91,0.98,0.86,28126660.0,0.12,0.06,Uptrend,Bull,,
RNEW,0,VanEck Green Infrastructure ETF,24.5,23.05,1.58,mixed,0.0,0.5,Neutral,Upward,0.63,-5.93,-5.34,-4.59,0.99,1.01,0.96,166.67,0.12,0.04,Uptrend,Bear,,
KWEB,0,KraneShares CSI China Internet ETF,28.19,25.7,1.63,mixed,0.0,0.5,Neutral,Upward,0.62,-8.82,-2.13,-9.61,0.99,1.02,0.96,20032833.33,0.08,-0.15,Uptrend,Bear,,
XHE,0,SPDR S&P Health Care Equipment ETF,88.68,85.49,9.12,mixed,0.0,0.5,Neutral,Downward,0.11,-3.6,-11.94,-5.42,1.0,1.01,0.99,27500.0,0.05,-0.48,Downtrend,Bear,,
SILJ,0,Amplify Junior Silver Miners ETF,10.03,9.38,0.92,mostly neutral,2.24,0.1,Neutral,Upward,1.09,-6.48,-13.63,-9.37,0.89,0.97,0.84,1524220.0,0.04,-0.68,Uptrend,Bull,,
MOO,0,VanEck Agribusiness ETF,81.97,73.11,4.56,mixed,0.0,0.5,Neutral,Upward,0.22,-10.81,-10.84,-10.68,0.99,1.0,0.98,55686.67,0.07,-0.77,Uptrend,Bull,,
SIL,0,Global X Silver Miners ETF,27.46,25.92,2.2,mixed,0.0,0.1,Neutral,Upward,0.46,-5.6,-13.26,-9.5,0.92,0.98,0.87,415340.0,0.04,-0.82,Uptrend,Bull,,
LIT,0,Global X Lithium & Battery Tech ETF,59.72,46.11,7.71,mixed,0.0,0.5,Neutral,Upward,0.13,-22.79,-19.85,-22.84,0.96,1.02,0.91,550673.33,0.09,-2.09,Uptrend,Bear,,
ICLN,0,iShares Global Clean Energy ETF,18.99,14.32,2.13,mixed,0.0,0.5,Neutral,Upward,0.47,-24.59,-25.13,-22.33,0.98,1.01,0.96,3288773.33,0.07,-2.23,Uptrend,Bear,,
QCLN,0,First Trust NASDAQ Clean Edge Green Energy Index Fund,49.77,35.24,6.42,mixed,0.0,0.5,Neutral,Upward,0.16,-29.19,-23.82,-28.0,0.99,1.05,0.95,236473.33,0.03,-2.64,Uptrend,Bear,,
PBW,0,Invesco WilderHill Clean Energy ETF,38.0,23.26,5.95,mixed,0.0,0.5,Neutral,Downward,0.17,-38.79,-33.52,-35.74,1.01,1.09,0.97,228153.33,-0.03,-3.66,Downtrend,Bear,,
TAN,0,Invesco Solar ETF,75.06,46.38,12.23,mostly neutral,0.15,0.5,Neutral,Upward,0.08,-38.21,-38.61,-35.96,0.94,1.01,0.91,1044586.67,0.1,-3.97,Uptrend,Bear,,
